"ride_id","service_start_to_end","diff_request_accept","diff_accept_pickup","diff_accept_cancel","diff_dropoff_pay"
"3000000","77.00","5.00","10.00","","0.00"
"3000005","28.00","8.00","5.00","","0.00"
"3000011","69.00","10.00","5.00","","0.00"
"3000012","40.00","2.00","12.00","","0.00"
"3000029","90.00","9.00","14.00","","0.00"
"3000050","96.00","6.00","15.00","","0.00"
"3000062","25.00","2.00","2.00","","0.00"
"3000067","61.00","6.00","5.00","","0.00"
"3000072","91.00","9.00","4.00","","0.00"
"3000079","80.00","2.00","7.00","","0.00"
"3000089","61.00","2.00","12.00","","0.00"
"3000118","29.00","5.00","7.00","","0.00"
"3000126","82.00","6.00","10.00","","0.00"
"3000128","69.00","4.00","8.00","","0.00"
"3000131","83.00","3.00","4.00","","0.00"
"3000138","75.00","7.00","10.00","","0.00"
"3000194","39.00","4.00","13.00","","0.00"
"3000200","106.00","9.00","11.00","","0.00"
"3000243","94.00","2.00","4.00","","0.00"
"3000267","97.00","6.00","13.00","","0.00"
"3000281","82.00","8.00","2.00","","0.00"
"3000299","83.00","8.00","6.00","","0.00"
"3000310","75.00","7.00","13.00","","0.00"
"3000328","78.00","10.00","4.00","","0.00"
"3000329","73.00","9.00","12.00","","0.00"
"3000336","35.00","10.00","7.00","","0.00"
"3000363","92.00","2.00","11.00","","0.00"
"3000398","85.00","3.00","12.00","","0.00"
"3000416","71.00","6.00","10.00","","0.00"
"3000424","97.00","8.00","7.00","","0.00"
"3000439","48.00","3.00","5.00","","0.00"
"3000510","75.00","2.00","9.00","","0.00"
"3000525","32.00","7.00","8.00","","0.00"
"3000526","39.00","9.00","10.00","","0.00"
"3000532","66.00","6.00","13.00","","0.00"
"3000540","85.00","3.00","3.00","","0.00"
"3000541","83.00","4.00","7.00","","0.00"
"3000549","25.00","4.00","6.00","","0.00"
"3000550","96.00","4.00","9.00","","0.00"
"3000567","67.00","8.00","9.00","","0.00"
"3000579","100.00","10.00","9.00","","0.00"
"3000581","96.00","9.00","13.00","","0.00"
"3000587","45.00","5.00","3.00","","0.00"
"3000599","89.00","5.00","7.00","","0.00"
"3000608","67.00","7.00","12.00","","0.00"
"3000615","38.00","2.00","8.00","","0.00"
"3000633","26.00","5.00","2.00","","0.00"
"3000663","91.00","2.00","10.00","","0.00"
"3000691","49.00","8.00","13.00","","0.00"
"3000730","70.00","10.00","8.00","","0.00"
"3000742","41.00","7.00","15.00","","0.00"
