"ride_id","pickup_latitude","pickup_longitude","dropoff_latitude","dropoff_longitude"
"3000023","40.6851859  ","-73.99472165","40.83142658 ","-73.91271123"
"3000024","40.81098464 ","-74.11502434","40.80982049 ","-73.80320195"
"3000025","40.84414807 ","-73.84599412","40.8662361  ","-73.97788948"
"3000026","40.6581083  ","-73.90199317","40.7820038  ","-74.1057497"
"3000288","40.76639545 ","-73.877075","40.67157145 ","-73.88681784"
"3000027","40.69887461 ","-73.96166845","40.75913043 ","-74.14248758"
"3000028","40.72895925 ","-74.00680172","40.67693756 ","-74.01091253"
"3000029","40.8935898  ","-73.90744792","40.83461178 ","-74.13517705"
"3000030","40.8063881  ","-73.95479251","40.65705993 ","-74.01692701"
"3000031","40.89779659 ","-74.03830796","40.66913955 ","-74.03751297"
"3000032","40.86116705 ","-74.08609659","40.79726302 ","-73.80302559"
"3000033","40.77811321 ","-74.0563458","40.89412142 ","-73.93941019"
"3000034","40.90696873 ","-73.93412423","40.83024469 ","-74.01535693"
"3000035","40.89506676 ","-73.98751056","40.64791545 ","-73.94366727"
"3000036","40.76639545 ","-73.877075","40.68292538 ","-74.00581835"
"3000037","40.67346073 ","-73.86634097","40.70342381 ","-73.99215324"
"3000038","40.74129857 ","-73.99772023","40.79673725 ","-74.03542746"
"3000039","40.73551035 ","-73.98371501","40.72555445 ","-73.91078173"
"3000040","40.65785586 ","-74.05148459","40.682711   ","-74.02471583"
"3000041","40.72885719 ","-73.85590645","40.69081559 ","-74.10549137"
"3000042","40.70350175 ","-73.82721693","40.76930669 ","-73.80597036"
"3000043","40.81597652 ","-73.97435059","40.80822048 ","-74.01566218"
"3000044","40.77370512 ","-74.02104165","40.81945683 ","-73.89871808"
"3000045","40.79388952 ","-74.10976834","40.6594161  ","-73.8637702"
"3000046","40.8670802  ","-74.03208739","40.79331106 ","-73.79051581"
"3000047","40.76081703 ","-74.01140067","40.67727585 ","-73.89720842"
"3000048","40.8543581  ","-73.82956818","40.83461178 ","-74.13517705"
"3000049","40.86421674 ","-73.93884504","40.72671768 ","-73.84405977"
"3000050","40.65045826 ","-73.90457911","40.6884329  ","-73.98256521"
"3000051","40.80714331 ","-74.05136459","40.76299112 ","-73.85595186"
"3000052","40.88821669 ","-73.9067905","40.78093701 ","-74.03246147"
"3000053","40.79460742 ","-73.81512246","40.65018643 ","-74.03061741"
"3000054","40.84419759 ","-74.0958985","40.84743376 ","-73.85262525"
"3000055","40.82568853 ","-73.99340635","40.84403788 ","-73.81520326"
"3000056","40.88754575 ","-74.05897022","40.7820038  ","-74.1057497"
"3000057","40.75902209 ","-74.00606173","40.759937   ","-74.05270546"
"3000058","40.87378968 ","-74.00163135","40.85692465 ","-74.01726304"
"3000059","40.81860064 ","-74.08126493","40.88315444 ","-73.93713517"
"3000060","40.85682106 ","-73.8213018","40.79959428 ","-73.90984647"
"3000061","40.84464658 ","-73.91018239","40.70226286 ","-73.81244222"
"3000062","40.7806446  ","-74.10968735","40.74998832 ","-73.78839971"
"3000063","40.71038886 ","-73.88724436","40.77749575 ","-73.93980724"
"3000064","40.72585479 ","-73.85639995","40.89309896 ","-73.88757853"
"3000065","40.759937   ","-74.05270546","40.80876695 ","-74.10964831"
"3000066","40.86883342 ","-74.10937006","40.83461178 ","-74.13517705"
"3000067","40.66773568 ","-73.87084779","40.80933122 ","-73.97588284"
"3000068","40.74216268 ","-73.8083638","40.76737668 ","-73.99872262"
"3000069","40.72519199 ","-74.03193401","40.67727585 ","-73.89720842"
